,links,names,ratings,price for one,crusine
59,https://www.zomato.com/bangalore/aubree-shivajinagar-bangalore/order,Aubree,4.1,₹200 for one,"Cafe, Bakery, Fast Food, Italian, Thai"
60,https://www.zomato.com/bangalore/smoor-mg-road-bangalore/order,SMOOR,4.5,₹250 for one,"Desserts, Beverages, Bakery"
61,https://www.zomato.com/bangalore/paratha-envy-brigade-road-bangalore/order,Paratha Envy,4.1,₹250 for one,"North Indian, Fast Food"
62,https://www.zomato.com/bangalore/ctr-shri-sagar-malleshwaram-bangalore/order,CTR Shri Sagar,4.3,₹250 for one,South Indian
63,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order,Vijayalakshmi Veg,4.0,₹250 for one,"South Indian, Chinese, Street Food"
64,https://www.zomato.com/bangalore/hari-super-sandwich-brigade-road-bangalore/order,Hari Super Sandwich,3.5,₹250 for one,"Fast Food, Sandwich, Chinese"
65,https://www.zomato.com/bangalore/donne-biriyani-mane-1-indiranagar/order,Donne Biriyani Mane,4.0,₹250 for one,"Biryani, South Indian"
66,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,New Taj Darbar,3.5,₹250 for one,"North Indian, Chinese, Mughlai"
67,https://www.zomato.com/bangalore/my-khana-koramangala-7th-block-bangalore/order,My Khana,4.1,₹250 for one,North Indian
68,https://www.zomato.com/bangalore/natraj-chole-bhature-indiranagar-bangalore/order,Natraj Chole Bhature,4.0,₹250 for one,North Indian
69,https://www.zomato.com/bangalore/bowl-99-1-koramangala-5th-block-bangalore/order,Bowl 99,3.8,₹250 for one,"North Indian, South Indian"
70,https://www.zomato.com/bangalore/zed-the-baker-cunningham-road-bangalore/order,Zed The Baker,4.4,₹250 for one,"Bakery, Italian, Greek, Fast Food, Desserts, Beverages"
71,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,Anand Sweets And Savouries,4.4,₹250 for one,"Mithai, Street Food, Beverages"
72,https://www.zomato.com/bangalore/kfc-vasanth-nagar-bangalore/order,KFC,3.9,₹250 for one,"Burger, Fast Food, Beverages, Desserts"
73,https://www.zomato.com/bangalore/cravisthan-domlur-bangalore/order,Cravisthan,4.0,₹250 for one,"North Indian, South Indian"
74,https://www.zomato.com/bangalore/go-native-1-lavelle-road-bangalore/order,Go Native,4.2,₹250 for one,"Healthy Food, Fast Food, Desserts, Beverages"
75,https://www.zomato.com/bangalore/infinitea-tea-room-tea-store-cunningham-road-bangalore/order,Infinitea Tea Room & Tea Store,4.1,₹250 for one,"Italian, European, Healthy Food, Seafood, Desserts, Tea"
76,https://www.zomato.com/bangalore/just-sandwiches-btm/order,Just Sandwiches,4.1,₹250 for one,"Fast Food, Beverages"
77,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order,Bhartiya Jalpan,3.9,₹250 for one,"North Indian, Street Food, Desserts, Beverages"
78,https://www.zomato.com/bangalore/biryani-trip-brigade-road-bangalore/order,Biryani Trip,4.2,₹250 for one,"Biryani, Hyderabadi"
79,https://www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore/order,Punjabi Dhaba,3.6,₹250 for one,"North Indian, Mughlai, Chinese"
80,https://www.zomato.com/bangalore/thalaivars-biryani-cunningham-road-bangalore/order,Thalaivars Biryani,4.0,₹250 for one,"Biryani, South Indian"
81,https://www.zomato.com/bangalore/hotel-udupi-brundavana-2-malleshwaram-bangalore/order,Hotel Udupi Brundavana,New,₹250 for one,"South Indian, Chinese"
82,https://www.zomato.com/bangalore/new-punjabi-hotel-btm/order,New Punjabi Hotel,3.8,₹250 for one,"North Indian, Chinese"
83,https://www.zomato.com/bangalore/madurai-idly-shop-shivajinagar-bangalore/order,Madurai Idly Shop,3.8,₹250 for one,"South Indian, Chinese"
84,https://www.zomato.com/bangalore/taste-of-bhubaneswar-koramangala-8th-block-bangalore/order,Taste Of Bhubaneswar,New,₹100 for one,"North Indian, Bengali, Odia"
85,https://www.zomato.com/bangalore/kanti-sweets-brigade-road/order,Kanti Sweets,4.4,₹100 for one,"Mithai, Street Food, Desserts"
86,https://www.zomato.com/bangalore/krispy-kreme-richmond-road/order,Krispy Kreme,4.3,₹100 for one,"Desserts, Beverages"
87,https://www.zomato.com/bangalore/lunchbox-shanti-nagar-bangalore/order,Lunchbox,3.9,₹100 for one,"North Indian, Chinese, Mughlai, Fast Food, Biryani, Beverages, Desserts"
88,https://www.zomato.com/bangalore/bullet-biryani-brigade-road-bangalore/order,Bullet Biryani,4.0,₹100 for one,"Biryani, Kebab, Andhra"
89,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order,The Good Bowl,4.0,₹100 for one,"North Indian, Mughlai"
90,https://www.zomato.com/bangalore/slay-coffee-bar-st-marks-road-bangalore/order,SLAY Coffee Bar,4.2,₹100 for one,"Coffee, Beverages"
91,https://www.zomato.com/bangalore/the-biryani-life-shanti-nagar-bangalore/order,The Biryani Life,3.8,₹100 for one,Biryani
92,https://www.zomato.com/bangalore/azuki-japan-travel-bistro-sake-richmond-town-bangalore/order,Azuki Japan Travel Bistro & Sake,4.3,₹100 for one,"Japanese, Beverages"
93,https://www.zomato.com/bangalore/mini-samrat-vasanth-nagar-bangalore/order,Mini Samrat,3.8,₹100 for one,"South Indian, North Indian, Chinese, Fast Food, Desserts, Beverages"
94,https://www.zomato.com/bangalore/copper-cloves-@-the-organic-world-indiranagar-bangalore/order,Copper + Cloves @ The Organic World,3.4,₹100 for one,"Cafe, Healthy Food, Desserts, Beverages"
95,https://www.zomato.com/bangalore/sreeraj-lassi-bar-shanti-nagar/order,Sreeraj Lassi Bar,4.3,₹100 for one,"Beverages, Desserts, Ice Cream, Fast Food"
96,https://www.zomato.com/bangalore/al-bek-rajajinagar/order,Al-Bek,4.1,₹200 for one,"Mughlai, Arabian, North Indian, Chinese, Seafood"
97,https://www.zomato.com/bangalore/karama-restaurant-frazer-town/order,Karama Restaurant,4.0,₹200 for one,"Arabian, Mughlai, Seafood, North Indian, Biryani"
98,https://www.zomato.com/bangalore/shanthi-sagar-ulsoor/order,Shanthi Sagar,4.2,₹200 for one,"South Indian, North Indian, Chinese, Beverages"
99,https://www.zomato.com/bangalore/paakashala-mg-road-bangalore/order,Paakashala,4.3,₹200 for one,"South Indian, North Indian, Chinese"
100,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order,New Shanthi Sagar,4.0,₹200 for one,"Chinese, Street Food, North Indian, South Indian, Beverages, Ice Cream"
101,https://www.zomato.com/bangalore/pasta-street-cunningham-road/order,Pasta Street,4.2,₹200 for one,"Italian, European, Pizza, Pasta, Salad, Desserts, Beverages"
102,https://www.zomato.com/bangalore/sri-udupi-food-hub-domlur-bangalore/order,Sri Udupi Food Hub,3.9,₹200 for one,"South Indian, North Indian, Chinese, Beverages"
103,https://www.zomato.com/bangalore/kailash-parbat-2-jayanagar-bangalore/order,Kailash Parbat,3.8,₹200 for one,"North Indian, Street Food, Beverages"
104,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-shanti-nagar-bangalore/order,A2B - Adyar Ananda Bhavan,-,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Desserts, Beverages"
105,https://www.zomato.com/bangalore/shahi-family-restaurant-ulsoor-bangalore/order,Shahi Family Restaurant,3.5,₹200 for one,"North Indian, Chinese, South Indian"
106,https://www.zomato.com/bangalore/milano-ice-cream-indiranagar/order,Milano Ice Cream,4.5,₹200 for one,"Desserts, Ice Cream, Beverages"
107,https://www.zomato.com/bangalore/jagannath-food-corner-btm-bangalore/order,Jagannath Food Corner,3.8,₹200 for one,"North Indian, Fast Food"
108,https://www.zomato.com/bangalore/uttara-karnataka-jolada-rotti-mattu-chapati-angadi-basavanagudi-bangalore/order,Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,4.2,₹100 for one,"South Indian, Mithai"
109,https://www.zomato.com/bangalore/plan-b-koramangala-5th-block-bangalore/order,Plan B,3.6,₹100 for one,"American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages"
